,0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
69,"@felix_bohr Lieber @felix_bohr, ich folge Ihren Tweets mit großem Interesse, danke dafür!
Das Gebäude an Bildrand i… https://t.co/MNNuk4lFdL"," _             _    ,                               ß            ,          ü !
       ä                 …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
74,"@pirchner @emil_goldberg Wenn Hauptwohnsitz dort gemeldet ist und über 16 Jahre alt, sollte etwas per Post zugestel… https://t.co/NFIGEGXLLA","   _                                                  ü                ,                               …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
75,RT @mzwebde: Inklusive Theatergruppe lockt hunderte Zuschauer auf Bernburger Karlsplatz https://t.co/o7mN2yAUrB,                                                                                 :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
76,Inklusive Theatergruppe lockt hunderte Zuschauer auf Bernburger Karlsplatz https://t.co/o7mN2yAUrB,                                                                                :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
77,#Inklusives #Theater stellt Schicksal von #ermordeten Behinderten im Zweiten #Weltkrieg auf #Bernburger Karlsplatz… https://t.co/NJkegaiwP2,#           #                             #                                  #              #                     …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
83,Tipp an Lehrende: lasst die Art der Präsentation offen! 😍gestern haben uns zwei Studis am Karlsplatz durch die Rade… https://t.co/rX5IscGBei,                :                     ä               ! 😍                                                          …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
84,Ab Ende Juni bis September könnt ihr sie an Wochenenden am Donaukanal und Karlsplatz finden. Organisiert wird der E… https://t.co/KhcDDnGgsB,                            ö                                                              .                       …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
85,"@ThomasWalach @rudi_anschober Heut 14hr ab Guntramsdorf-Karlsplatz BadnerBahn: Ein Verhängnis.
Gerammelt voll-alle… https://t.co/DgsbTTiE4i","   _                                   -                     :         ä     .
              -    …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
86,@MiedlerMoritz Glauben Sie dass ich drogenabhängig bin? Diese frage stelle mir elon mUsk am Karlsplatz als er grad… https://t.co/bodu1vSEMR,                                ä        ?                                                           …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
87,Mit einer Kundgebung am Stuttgarter Karlsplatz sowie einem #Buskorso will der #WBO auf das Problem der Mehrkosten d… https://t.co/XYL9uPmcs9,                                                           #                  #                                    …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
88,Ärger am Stachus: Kein U4/U5-Stopp am Stachus für zwei Monate – wegen der Rolltreppen https://t.co/EzAe7YYOLX,ä               :        /  -                  ü              –                            :// .  /          ,-0.25,1.0,neutral,0.0,1.0,0.0,0.0
89,RT @Habakuk3000: @Natascha_Strobl Oder als Jugendliche am karlsplatz dancing queen gesungen haben,  _                                                                      ,0.0,0.0,neutral,0.0,0.0,0.0,0.0
90,"RT @Natascha_Strobl: Könnt ihr euch erinnern, als feiernde Jugendliche am Karlsplatz gestürmt wurden und im Nachgang „200 Autonome“ erfunde…","  ö                     ,                                            ü                           „            “        …",0.0,0.0,neutral,0.0,0.0,0.0,0.0
91,@coolservativ Zur Belohnung erhalten dann Scholz/Macron/Putin gemeinsam den Friedensnobelpreis - und Lawrow in Aach… https://t.co/RTz2k7t9ns,                                    /      /                                       -                   …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
