,0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
33,"RT @nicer_ch: @edwedl Am Wegesrand zwischen 2 Löchern. Der Weg führt an einem kleinen Hof vorbei. Und der Hahn schaut, dass sich kein Golfe…","                            ö     .          ü                               .                    ,                     …",0.0,0.0,neutral,0.0,0.0,0.0,0.0
34,"@edwedl Am Wegesrand zwischen 2 Löchern. Der Weg führt an einem kleinen Hof vorbei. Und der Hahn schaut, dass sich… https://t.co/nUalkY347X","                           ö     .          ü                               .                    ,          …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
35,"In Hof (Bayern) sind es am 15.06.2022 um 22:57Uhr genau 18.1°C, gefühlt sind es 17°C. Aktuelles Wetter: 🌕  Klarer Himmel. #HofSaale","       (      )              .  .          :              . ° ,    ü              ° .                 : 🌕               . #        ",0.0,0.0,neutral,0.0,0.0,0.0,0.0
36,"RT @KirstenOfM: 5. Levina Teerlinc (1510 - 1576), flämische Miniaturistin am englischen Hof unter Heinrich VIII (ja, genau dem…) und später…","  .                 (     -     ),   ä                                                           (  ,          …)       ä   …",0.0,0.0,neutral,0.0,1.0,0.0,0.0
37,RT @LokaloDE: Trier: Alte Lieblingsstücke retten - Repair Café im Mergener Hof am 25. Juni - https://t.co/n9Cypovgvv https://t.co/CUSzZXoY1r,      :                 ü           -           é                      .      -      :// .  /                :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
38,"@scenes_crime Ja, trotzdem muss man sagen, nichts kaputt an Haus und Hof… ach ja , die Dachrinne am Stall hatte es… https://t.co/rm524Eoqx7"," _        ,                        ,                              …        ,                                …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
39,"In Hof (Bayern) sind es am 15.06.2022 um 21:59Uhr genau 20.6°C, gefühlt sind es 20°C. Aktuelles Wetter: ☀️  Klarer Himmel. #HofSaale","       (      )              .  .          :              . ° ,    ü              ° .                 : ☀️               . #        ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
40,"In Hof (Bayern) sind es am 15.06.2022 um 21:00Uhr genau 23.6°C, gefühlt sind es 23°C. Aktuelles Wetter: ☀️  Klarer Himmel. #HofSaale","       (      )              .  .          :              . ° ,    ü              ° .                 : ☀️               . #        ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
41,Ich hatte jedenfalls ein sehr schönes Wochenende und habe mich dort gut aufgehoben gefühlt. Klar war am Einlass ebe… https://t.co/0uYGmPdIiH,                                 ö                                                    ü   .                        …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
42,"In Hof (Bayern) sind es am 15.06.2022 um 19:57Uhr genau 26.8°C, gefühlt sind es 26°C. Aktuelles Wetter: ☀️  Klarer Himmel. #HofSaale","       (      )              .  .          :              . ° ,    ü              ° .                 : ☀️               . #        ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
43,"@joergscheller1 Joerg, ich möchte in diesem Zusammenhang nicht unerwähnt lassen, dass der sog. Entdecker der Sacher… https://t.co/EahzFXnb6a","        ,      ö                                       ä          ,             .                     …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
44,Wieder Cellotage in Hof - Abschlusskonzert am Samstag https://t.co/KpS6ArXimj #franken https://t.co/InfZgFM51S,                        -                                  :// .  /           #             :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
45,"Wir leben in #Jena in der Innenstadt. Wir haben Hummeln im Dach, Solitärbienen auf der Dachterrasse, im Hof einen M… https://t.co/AbO1Goau4g","             #                      .                          ,      ä                            ,               …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
46,"In Hof (Bayern) sind es am 15.06.2022 um 18:58Uhr genau 27.1°C, gefühlt sind es 26°C. Aktuelles Wetter: ☀️  Klarer Himmel. #HofSaale","       (      )              .  .          :              . ° ,    ü              ° .                 : ☀️               . #        ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
47,#Ella: „Er ist wieder da. Gefunden im Hof im Gras. Keine Bissspuren am Filzanhänger. Also kann ich’s ja nicht gewes… https://t.co/1i92D1xJZa,#    : „                .                        .                            ä    .              ’                …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
48,"Heute war die mobile Käserei wieder bei uns um den leckeren Schnittkäse zu produzieren 🙂 

#mehralsmittelzumleben… https://t.co/MOU5mqoKSF","                      ä                                             ä                  🙂 

#                     …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
49,"Gestatten: Louis XIII, König von Frankreich. Und mein Hasi. Also, ihre Majestät, die Königin. 
Ab Freitag in der hi… https://t.co/FulAvHV8u7","         :           ,  ö                  .              .     ,            ä ,      ö     . 
                    …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
50,"In Hof (Bayern) sind es am 15.06.2022 um 17:59Uhr genau 28.3°C, gefühlt sind es 27°C. Aktuelles Wetter: ☀️  Klarer Himmel. #HofSaale","       (      )              .  .          :              . ° ,    ü              ° .                 : ☀️               . #        ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
51,"@ancgreek Habe hier auf dem Hof auch schweres Gerät ohne Absperrung und nur der Typ am Hebel, kein Einweiser.","                                         ä                                          ,               .",0.0,0.0,neutral,0.0,0.0,0.0,0.0
52,"In Hof (Bayern) sind es am 15.06.2022 um 17:00Uhr genau 28.1°C, gefühlt sind es 27°C. Aktuelles Wetter: ☀️  Klarer Himmel. #HofSaale","       (      )              .  .          :              . ° ,    ü              ° .                 : ☀️               . #        ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
53,"Wasser marsch – Der neue Spielplatz/Wasserspielplatz am Senftenberger Ring West ist fertig

Der „neue“ Spielplatz/W… https://t.co/rUawaBDLdT","              –                    /                                                      

    „    “           / …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
55,"In Hof (Bayern) sind es am 15.06.2022 um 15:57Uhr genau 27.6°C, gefühlt sind es 27°C. Aktuelles Wetter: ☀️  Klarer Himmel. #HofSaale","       (      )              .  .          :              . ° ,    ü              ° .                 : ☀️               . #        ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
56,"Die Open Air-Konzertreihe ""Kultur verbindet - Mainz live"" startet am 17.6.! Den Auftakt macht @realMarcUwe. Ihr kön… https://t.co/RTCBf0rRfh","            -             ""                 -           ""              . .!                    .      ö …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
57,@MayaFreak1 In meiner Stadt kann es der Horror sein einen Röhrenfernseher zu entsorgen... Andere bekommen anscheine… https://t.co/S5niL0osCn,                                                  ö                          ...                          …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
58,"In Hof (Bayern) sind es am 15.06.2022 um 15:01Uhr genau 26.9°C, gefühlt sind es 26°C. Aktuelles Wetter: ☀️  Klarer Himmel. #HofSaale","       (      )              .  .          :              . ° ,    ü              ° .                 : ☀️               . #        ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
60,@Fischerin5 Das meiner Familie geben und dann mit denen n Hof am Wald kaufen. Rest geht auf deren Nacken. Will nur n minihaus,                                                                   .                           .                    ,0.0,0.0,neutral,0.0,0.0,0.0,0.0
61,@HeikeSpecht Vor allem verschiedene Vögel im Hof. Irgendwelche Nachbarn die Gartenarbeit machen. Von der Hauptstras… https://t.co/9BBD3b5zND,                          ö          .                                              .                   …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
62,Verpaßter Anschluß: einer. Das war ein Sechsminutenanschluß in Leipzig Hbf. Der Zug nach Saalfeld/Hof wartete nicht… https://t.co/cQCp36LlHD,     ß           ß:      .                                ß               .                      /                 …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
63,"In Hof (Bayern) sind es am 15.06.2022 um 13:56Uhr genau 25.8°C, gefühlt sind es 25°C. Aktuelles Wetter: ☀️  Klarer Himmel. #HofSaale","       (      )              .  .          :              . ° ,    ü              ° .                 : ☀️               . #        ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
64,"In Hof (Bayern) sind es am 15.06.2022 um 12:59Uhr genau 24.5°C, gefühlt sind es 24°C. Aktuelles Wetter: ☀️  Klarer Himmel. #HofSaale","       (      )              .  .          :              . ° ,    ü              ° .                 : ☀️               . #        ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
65,Trier: Alte Lieblingsstücke retten - Repair Café im Mergener Hof am 25. Juni - https://t.co/n9Cypovgvv https://t.co/CUSzZXoY1r,     :                 ü           -           é                      .      -      :// .  /                :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
66,"In Hof (Bayern) sind es am 15.06.2022 um 12:01Uhr genau 23.2°C, gefühlt sind es 23°C. Aktuelles Wetter: 🌧  Leichter Regen. #HofSaale","       (      )              .  .          :              . ° ,    ü              ° .                 : 🌧                . #        ",0.0,0.0,neutral,0.0,0.0,0.0,0.0
67,"In Hof (Bayern) sind es am 15.06.2022 um 11:00Uhr genau 22.1°C, gefühlt sind es 21°C. Aktuelles Wetter: ☀️  Klarer Himmel. #HofSaale","       (      )              .  .          :              . ° ,    ü              ° .                 : ☀️               . #        ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
68,"@Hi5_Phil @Escortprivat @dernaro Mein Favorit bei neuen Gemeindebauten: der Barbara-Prammer-Hof. Am A**** der Welt,… https://t.co/ZNrZRJeWhY","  _                                              :            -       -   .     ****         ,…      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
69,"@Behoerdenjurist Sei dir gegönnt ich muss morgen noch und am Freitag Heimreise.
Danach 7 Tage Urlaub wobei Steine s… https://t.co/xEDsTWN68J","             ö                                                 .
                                   …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
70,"https://t.co/0OgcHzHuV0
First Gastro Insight  - Wiens erster Private Members Club nach internationalem Vorbild","     :// .  /          
                      -                                                               ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
71,"In Hof (Bayern) sind es am 15.06.2022 um 09:58Uhr genau 19.5°C, gefühlt sind es 19°C. Aktuelles Wetter: ☀️  Klarer Himmel. #HofSaale","       (      )              .  .          :              . ° ,    ü              ° .                 : ☀️               . #        ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
72,"Unser Autor Raymon Bernard von dem Buch ""Die Besonderheiten der Etikette"" :
Er war über vier Jahrzehnte als Butler… https://t.co/ykTUNh5DK9","                                        ""                               "" :
       ü                              …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
