,0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
65,"RT @nochrichten: #w1106 13:57
Auftaktkundgebung zum rechtsextremen, christlich-fundamentalistischen „Marsch für die Familie“ beginnt am Wie…"," #        :  
                                    ,           -                     „        ü             “               …",0.0,0.0,neutral,0.0,0.0,0.0,0.0
67,"https://t.co/4BlIsZfJ7l
KURIERat hat eine Headline geändert. 

Hunderttausende bei der Pride und Pfefferspray am St… https://t.co/invlDRilNi","     :// .  /          
                             ä     . 

                                                    …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
69,"RT @FredParras: wien, 2022, #ViennaPride: rechtsreligiöse fundamentalisten meinen dass kinder mehr liebe und weniger sex brauchen, feiern d…","     ,     , #           :             ö                                                                          ,         …",0.0,0.0,neutral,0.0,0.0,0.0,0.0
70,"@LPDWien #w1106  Schon witzig, es gab keine Möglichkeit vom Stephansplatz  weg zu kommen.","  #                   ,               ö                                          .",0.0,0.0,neutral,0.0,0.0,0.0,0.0
78,"Einsatz am Stephansplatz: erste Ausschreitungen bei Demo gegen Vienna Pride 
https://t.co/4D71Hf5r1l https://t.co/8hNJoPj0zC","                        :                                                   
     :// .  /                :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
79,@LPDWien Warum nur am Stephansplatz?,                            ?,0.0,0.0,neutral,0.0,0.0,0.0,0.0
80,@Maximil82360973 @LPDWien Die bunten braven haben kein altes strafbares Gedankengut in ihren Köpfen so wie die Herr… https://t.co/FgxHgDKrsK,                                                                                ö                    …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
84,RT @Heute_at: Am Stephansplatz kommt es am Samstag zu einem riesigen Polizeieinsatz: Der Anti-Pride-Demo stellten sich hunderte Antifaschis…,                                                                      :         -     -                                       …,0.0,0.0,neutral,0.0,0.0,0.0,0.0
89,Am Stephansplatz kommt es am Samstag zu einem riesigen Polizeieinsatz: Der Anti-Pride-Demo stellten sich hunderte A… https://t.co/7vihQp8J7u,                                                                     :         -     -                             …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
92,"Hab soeben erfahren, dass die Katholische Jugend Österreichs heuer zum ersten Mal einen Wagen bei der #Pride stellt… https://t.co/0MUvRzloLt","                   ,                             ö                                                    #            …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
93,"wien, 2022, #ViennaPride: rechtsreligiöse fundamentalisten meinen dass kinder mehr liebe und weniger sex brauchen,… https://t.co/Zzo1BrAfj5","    ,     , #           :             ö                                                                          ,…      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
94,"RT @Die_Liser: Bei den Sachen am Stephansplatz denk ich mir auch wann kommen wir endlich an den Punkt an dem realisiert wird, dass nicht je…","                                                                                                              ,              …",0.0,0.0,neutral,0.0,0.0,0.0,0.0
114,Die Route für den rechten Fundi-Aufmarsch in Wien ist am Stephansplatz von hunderten linken und queeren Aktivist*in… https://t.co/bk8y5QCCGp,           ü                   -                                                                                *  …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
116,Pro-Pride-Demo am Stephansplatz ist nun gekesselt. Es wird eine Anhaltung für die Dauer der Fundi-Demo durchgesagt. https://t.co/fMRJEeuxyz,   -     -                                       .                         ü                     -                .      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
117,RT @nofundis_wien: Die #scheißepolizei setzt jetzt Pfefferspray gegen Personen im Kessel am Stephansplatz ein #w1106,     #     ß                                                                                #     ,0.0,0.0,neutral,0.0,0.0,0.0,0.0
118,Die #scheißepolizei setzt jetzt Pfefferspray gegen Personen im Kessel am Stephansplatz ein #w1106,    #     ß                                                                                #     ,0.0,0.0,neutral,0.0,0.0,0.0,0.0
122,RT @MichaelBonvalot: Am Wiener Stephansplatz soll heute der rechts-katholische “Marsch für die Familie” stattfinden – als Gegenveranstaltun…,                                              -            “        ü             ”             –                      …,0.0,0.0,neutral,0.0,0.0,0.0,0.0
129,"Der Stephansplatz, Austragungsort des christlich-Fundamentalistischen Marsches für die Familie, sieht aktuell so au… https://t.co/GzLwAJ3iuj","                 ,                              -                               ü             ,                    …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
130,"Kulturkampf am Stephansplatz🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄
für die lieben Kinder wirds aber, anders als noch  in meiner Generation, kei… https://t.co/evhX8gtKbK","                            🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄
 ü                              ,                                      ,    …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
133,RT @lorenz_o_v: Erster Rechtsextremer mit T-Shirt des Azov-Bataillons samt Wolfsangel am Stephansplatz eingetroffen. #w1106,                            -              -                                                        . #     ,0.0,0.0,neutral,0.0,0.0,0.0,0.0
135,RT @LPDWien: Die Teilenehmer*innen der spontanen Gegenkundgebung am Stephansplatz werden via Lautsprecher aufgefordert sich hinter die Absp…,                *                                                                                                              …,0.0,0.0,neutral,0.0,0.0,0.0,0.0
136,Sind heute wieder Faschos am Stephansplatz unterwegs oder ist den Bauern nur langweilig und sie tun ein wenig krawa… https://t.co/1eimqk1jVm,                                                                                                                   …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
138,"Bei den Sachen am Stephansplatz denk ich mir auch wann kommen wir endlich an den Punkt an dem realisiert wird, dass… https://t.co/1HE1hYru0t","                                                                                                             ,     …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
144,Die Teilenehmer*innen der spontanen Gegenkundgebung am Stephansplatz werden via Lautsprecher aufgefordert sich hint… https://t.co/SQmgTeq5qu,               *                                                                                                   …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
145,Am Stephansplatz werden Bild- und Tonaufnahmen durchgeführt. Sollten sich strafbare Handlungen ereignen werden dies… https://t.co/vJzBTAd9Mw,                            -                          ü   .                                                       …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
147,"14:10 Kundgebung wird von Cops breit abgeschirmt, aber von einer wütenden Menge am Stephansplatz extrem laut ausgep… https://t.co/OWKYEGmemY","  :                                             ,                 ü                                                …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
148,RT @LPDWien: Mit 14:00 Uhr begann die Kundgebung am Stephansplatz. Sich formierende Störer*innen  werden via Lautsprecher auf die im Versam…,       :                                             .                    ö   *                                                …,0.0,0.0,neutral,0.0,0.0,0.0,0.0
149,@nochrichten stehen die am Stephansplatz? oder gibts ein Demoroute,                             ?                         ,0.0,0.0,neutral,0.0,0.0,0.0,0.0
151,Mit 14:00 Uhr begann die Kundgebung am Stephansplatz. Sich formierende Störer*innen  werden via Lautsprecher auf di… https://t.co/glCQL7bZmP,      :                                             .                    ö   *                                     …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
153,"#w1106 13:57
Auftaktkundgebung zum rechtsextremen, christlich-fundamentalistischen „Marsch für die Familie“ beginnt… https://t.co/MfNgSk3lmU","#        :  
                                    ,           -                     „        ü             “        …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
154,13:58 Demo am #Stephansplatz beginnt nun offiziell. Gegendemonstranten vor der Sperre aber auch in der Kundgebung.… https://t.co/ItmfnzCDJz,  :           #                                   .                                                              .…      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
