,0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
41,"Demo: bessere Schule jetzt!
Beginn Di., 21.06.2022 - 16:00
Ort Rathausplatz
https://t.co/aEsETeOpKz
siehe auch… https://t.co/sFNNX13OSm","    :                     !
         .,   .  .     -   :  
                
     :// .  /          
          …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
42,@merz_andreas Dingens an der Ecke / Rathausplatz? 😅, _                            /             ? 😅,0.0,0.0,neutral,0.0,0.0,0.0,0.0
43,"Strategie. Presse Eningen – Wir gratulieren Physiotherapiepraxis PHYSIOEningen zum Jubiläum.

Das Jubiläums-Praxisf… https://t.co/6DYOETp6XM","         .                –                                                             ä  .

         ä   -       …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
44,Bad Dürrheim: Wurfspiel auf Hochemminger Rathausplatz beim Landjugendtreffen (nq) https://t.co/AU6MankaH2,     ü      :                                                                (  )      :// .  /          ,-0.75,1.0,neutral,0.0,1.0,0.0,0.0
45,"Das eigene km-Konto für das #Stadtradeln in #wedel füllen, dabei bei gemütlichem Tempo einen netten Plausch halten… https://t.co/TH18SlD2cz","             -       ü      #               #       ü    ,              ü                                         …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
48,14. Juni: Stadtradel-Star lädt zur Wedel-Mitradeltour ein — Treffpunkt um 16 Uhr auf dem Rathausplatz. 25 Kilometer… https://t.co/DIQISsbXrH,  .     :           -      ä            -                 —                                          .             …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
50,2022 prägen #OpenAir-Konzerte und -Festivals Wiens sommerlichen Kulturgenuss. ☀️🎵 Vom #SummerNightConcert über das… https://t.co/MRn3l5CRrg,       ä    #       -             -                                         . ☀️🎵     #                   ü       …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
51,"RT @allesmittelgrau: Pfefferspray kann grundsätzlich auch tödlich sein. Eine Person die am Samstag Pfefferspray abbekommen hat, ist wenig s…","                         ä             ö          .                                                       ,            …",0.0,0.0,neutral,0.0,0.0,0.0,0.0
52,@Die_Liser Weißblaue Geschichten auf der Videowall am Rathausplatz sonst kann ich das nicht ernst nehmen, _         ß                                                                                         ,0.0,0.0,neutral,0.0,0.0,0.0,0.0
53,"Pfefferspray kann grundsätzlich auch tödlich sein. Eine Person die am Samstag Pfefferspray abbekommen hat, ist weni… https://t.co/6nPCXKmzTZ","                        ä             ö          .                                                       ,         …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
